time_dt,timestamp,prev_index_price,interest_8h,interest_1h,index_price,time_dt
2019-05-02 05:00:00,1556769600000,5323.82,-0.00023193854813821993,-4.932775057455491e-06,5331.74,2019-05-02 05:00:00
2019-05-02 06:00:00,1556773200000,5331.74,-0.00026449423928995893,-6.104604781631414e-05,5320.99,2019-05-02 06:00:00
2019-05-02 07:00:00,1556776800000,5320.99,-0.00021484927823693325,-6.21959797526325e-05,5326.67,2019-05-02 07:00:00
2019-05-02 08:00:00,1556780400000,5326.67,-0.00022079942067760444,-5.943404899808804e-05,5327.67,2019-05-02 08:00:00
2019-05-02 09:00:00,1556784000000,5327.67,-0.0002462464786263823,-3.2072410728224666e-05,5338.8,2019-05-02 09:00:00
2019-05-02 10:00:00,1556787600000,5338.8,-0.0002811073660725712,-3.7645694270308266e-05,5374.75,2019-05-02 10:00:00
2019-05-02 11:00:00,1556791200000,5374.75,-0.00031829438783358155,-3.8917553136435764e-05,5349.93,2019-05-02 11:00:00
2019-05-02 12:00:00,1556794800000,5349.93,-0.00031867829873591304,-2.3132891832458704e-05,5357.29,2019-05-02 12:00:00
2019-05-02 13:00:00,1556798400000,5357.29,-0.0003571951461582324,-4.3188762135777625e-05,5367.25,2019-05-02 13:00:00
2019-05-02 14:00:00,1556802000000,5367.25,-0.00035200856947821915,-5.694740122108318e-05,5368.14,2019-05-02 14:00:00
2019-05-02 15:00:00,1556805600000,5368.14,-0.0003554634047989915,-6.585015484211418e-05,5374.54,2019-05-02 15:00:00
2019-05-02 16:00:00,1556809200000,5374.54,-0.0003625134858144353,-6.701549465986104e-05,5378.86,2019-05-02 16:00:00
2019-05-02 17:00:00,1556812800000,5378.86,-0.0004242546550686965,-9.381947495800209e-05,5406.23,2019-05-02 17:00:00
2019-05-02 18:00:00,1556816400000,5406.23,-0.000468792305829463,-8.004701114352015e-05,5377.76,2019-05-02 18:00:00
2019-05-02 19:00:00,1556820000000,5377.76,-0.0005252039359168894,-9.782052006827673e-05,5393.21,2019-05-02 19:00:00
2019-05-02 20:00:00,1556823600000,5393.21,-0.000595871188779683,-9.373374468408125e-05,5386.93,2019-05-02 20:00:00
2019-05-02 21:00:00,1556827200000,5386.93,-0.0006002454366968917,-4.6706101186914496e-05,5399.86,2019-05-02 21:00:00
2019-05-02 22:00:00,1556830800000,5399.86,-0.0006095164230044782,-6.651905441535742e-05,5405.93,2019-05-02 22:00:00
2019-05-02 23:00:00,1556834400000,5405.93,-0.0005748909916913563,-3.0755127572764e-05,5403.2,2019-05-02 23:00:00
2019-05-03 00:00:00,1556838000000,5403.2,-0.0005144010563492563,-6.14510086633732e-06,5397.22,2019-05-03 00:00:00
2019-05-03 01:00:00,1556841600000,5397.22,-0.000432620497664922,-9.882230439519695e-06,5389.23,2019-05-03 01:00:00
2019-05-03 02:00:00,1556845200000,5389.23,-0.00039097220217890395,-4.034127844706798e-05,5407.87,2019-05-03 02:00:00
2019-05-03 03:00:00,1556848800000,5407.87,-0.0003086761101124836,-1.4722129507536628e-05,5427.72,2019-05-03 03:00:00
2019-05-03 04:00:00,1556852400000,5427.72,-0.0002150437706413264,-3.543529399621966e-07,5469.79,2019-05-03 04:00:00
2019-05-03 05:00:00,1556856000000,5469.79,-0.00017120323375182934,-2.4950362714876e-06,5463.28,2019-05-03 05:00:00
2019-05-03 06:00:00,1556859600000,5463.28,-0.00012223937369641743,-1.762086252322996e-05,5481.71,2019-05-03 06:00:00
2019-05-03 07:00:00,1556863200000,5481.71,-9.206487107626046e-05,-6.359325231715432e-07,5490.2,2019-05-03 07:00:00
2019-05-03 08:00:00,1556866800000,5490.2,-8.84751734752498e-05,-2.6961562106356308e-06,5517.59,2019-05-03 08:00:00
2019-05-03 09:00:00,1556870400000,5517.59,-7.908944717283369e-05,-6.274493252264592e-07,5583.8,2019-05-03 09:00:00
2019-05-03 10:00:00,1556874000000,5583.8,-2.3739177919328377e-05,1.5635553186275066e-05,5673.71,2019-05-03 10:00:00
